num_of_zones,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
1,3,t1271,17,16,0,6.3,6.3,1.7488000000000001
1,3,t967,1,17,0,4.5,4.5,1.08
1,3,t1178,19,9,0,4.2,4.2,1.7334
1,3,t664,4,13,0,6.0,6.0,1.4660000000000002
1,3,t158,7,6,0,3.0,3.0,0.8260000000000001
1,3,t847,15,19,0,3.5999999999999996,3.5999999999999996,0.954
1,3,t130,6,11,0,4.2,4.2,1.064
1,3,t1448,0,14,0,6.3,6.3,1.6820000000000002
1,3,t638,3,11,0,7.199999999999999,7.199999999999999,2.17
1,3,t627,3,6,0,6.8999999999999995,6.8999999999999995,1.752
1,3,t771,5,17,0,6.0,6.0,1.4246
1,3,t872,15,11,0,4.2,4.2,1.1720000000000002
1,3,t1379,10,5,0,3.3,3.3,0.9279999999999999
1,3,t659,3,10,0,6.8999999999999995,6.8999999999999995,1.8800000000000001
1,3,t1404,10,12,0,6.8999999999999995,6.8999999999999995,2.1100000000000003
1,3,t616,3,17,0,3.3,3.3,1.018
1,3,t741,5,13,0,6.3,6.3,1.6520000000000001
1,3,t503,14,10,0,5.3999999999999995,5.3999999999999995,1.6320000000000001
1,3,t898,1,13,0,4.8,4.8,1.3068
1,3,t391,9,13,0,4.5,4.5,1.2080000000000002
1,3,t965,1,19,0,3.3,3.3,1.4160000000000001
1,3,t517,14,9,0,5.1,5.1,1.4300000000000002
1,3,t1510,0,10,0,4.5,4.5,1.2400000000000002
1,3,t745,5,7,0,2.4,2.4,0.588
1,3,t849,15,17,0,6.0,6.0,1.3900000000000001
1,3,t1170,19,6,0,3.5999999999999996,3.5999999999999996,0.968
1,3,t1400,10,6,0,3.9,3.9,1.1580000000000001
1,3,t809,5,19,0,3.3,3.3,0.806
1,3,t1399,10,6,0,3.9,3.9,1.1580000000000001
1,3,t1244,17,13,0,5.3999999999999995,5.3999999999999995,1.568
1,3,t785,5,7,0,2.4,2.4,0.588
1,3,t1104,16,14,0,2.6999999999999997,2.6999999999999997,0.87
1,3,t1172,19,7,0,3.3,3.3,1.074
1,3,t464,9,10,0,3.5999999999999996,3.5999999999999996,0.8900000000000001
1,3,t196,7,13,0,6.0,6.0,1.85
1,3,t1475,0,13,0,4.2,4.2,0.9900000000000001
1,3,t770,5,19,0,3.3,3.3,0.806
1,3,t494,14,16,0,3.0,3.0,0.916
1,3,t1134,19,7,0,3.3,3.3,1.074
1,3,t1253,17,9,0,3.5999999999999996,3.5999999999999996,0.902
1,3,t1162,19,10,0,4.5,4.5,1.3920000000000001
1,3,t35,13,10,0,7.199999999999999,7.199999999999999,2.022
1,3,t1197,19,17,0,7.5,7.5,2.474
1,3,t497,14,19,0,3.0,3.0,0.742
1,9,t1197,19,17,0,7.5,7.5,2.474
1,9,t55,13,4,0,6.0,6.0,1.4820000000000002
1,9,t553,11,12,0,7.199999999999999,7.199999999999999,2.3120000000000003
1,9,t1258,17,3,0,3.5999999999999996,3.5999999999999996,1.076
1,9,t1162,19,10,0,4.5,4.5,1.3920000000000001
1,9,t146,6,19,0,3.0,3.0,0.796
1,9,t563,11,4,0,6.3,6.3,2.118
1,9,t130,6,11,0,4.2,4.2,1.064
1,9,t182,7,16,0,4.5,4.5,1.3820000000000001
1,9,t1106,16,3,0,4.8,4.8,1.2666000000000002
1,9,t903,1,12,0,5.1,5.1,1.3090000000000002
1,9,t61,13,1,0,4.8,4.8,1.2846000000000002
1,9,t663,4,13,0,6.0,6.0,1.4660000000000002
1,9,t751,5,9,0,3.0,3.0,0.682
1,9,t769,5,19,0,3.3,3.3,0.806
1,9,t1183,19,3,0,7.199999999999999,7.199999999999999,2.548
1,9,t1118,16,19,0,3.9,3.9,1.2688000000000001
1,9,t1180,19,14,0,3.3,3.3,0.8580000000000001
1,9,t198,7,6,0,3.0,3.0,0.8260000000000001
1,9,t757,5,3,0,5.7,5.7,1.512
1,9,t1257,17,11,0,6.0,6.0,1.8418
1,9,t107,6,19,0,3.0,3.0,0.796
1,9,t1503,0,19,0,5.7,5.7,1.9800000000000002
1,9,t1137,19,2,0,5.1,5.1,1.8420000000000003
1,9,t1428,10,17,0,5.1,5.1,1.6
1,9,t507,14,13,0,7.8,7.8,2.024
1,9,t109,6,17,0,7.199999999999999,7.199999999999999,1.6840000000000002
1,9,t535,14,19,0,3.0,3.0,0.742
1,9,t690,4,16,0,3.0,3.0,0.7280000000000001
1,9,t147,6,17,0,7.199999999999999,7.199999999999999,1.6840000000000002
1,9,t57,13,5,0,6.0,6.0,1.6239999999999999
1,9,t127,6,9,0,4.2,4.2,0.952
1,9,t1089,16,0,0,3.5999999999999996,3.5999999999999996,0.8300000000000001
1,9,t1225,17,5,0,6.3,6.3,1.57
1,9,t430,9,13,0,4.5,4.5,1.2080000000000002
1,9,t872,15,11,0,4.2,4.2,1.1720000000000002
1,9,t70,13,17,0,5.3999999999999995,5.3999999999999995,1.6079999999999999
1,9,t561,11,3,0,6.6,6.6,2.168
1,9,t927,1,17,0,4.5,4.5,1.08
1,9,t564,11,5,0,3.5999999999999996,3.5999999999999996,1.129
1,9,t1542,0,19,0,5.7,5.7,1.9800000000000002
1,9,t1172,19,7,0,3.3,3.3,1.074
1,9,t1391,10,17,0,5.1,5.1,1.6
1,9,t1181,19,11,0,3.0,3.0,1.02
1,9,t1092,16,13,0,5.3999999999999995,5.3999999999999995,1.4000000000000001
1,9,t213,7,5,0,2.4,2.4,0.634
1,9,t408,9,5,0,2.6999999999999997,2.6999999999999997,0.674
1,9,t1153,19,1,0,3.9,3.9,1.528
1,9,t1248,17,7,0,6.0,6.0,1.846
1,9,t207,7,14,0,4.2,4.2,1.242
1,9,t1532,0,5,0,4.2,4.2,0.97
1,9,t1202,19,0,0,6.0,6.0,2.074
1,9,t1134,19,7,0,3.3,3.3,1.074
1,9,t785,5,7,0,2.4,2.4,0.588
1,9,t206,7,14,0,4.2,4.2,1.242
1,9,t380,2,19,0,5.1,5.1,1.688
1,9,t1206,17,13,0,5.3999999999999995,5.3999999999999995,1.568
1,9,t1413,10,3,0,6.3,6.3,1.9600000000000002
1,9,t1318,8,0,0,4.5,4.5,1.098
1,9,t223,7,19,0,3.0,3.0,0.976
1,9,t526,14,5,0,3.3,3.3,0.892
1,9,t1378,10,5,0,3.3,3.3,0.9279999999999999
1,9,t409,9,5,0,2.6999999999999997,2.6999999999999997,0.674
1,9,t54,13,3,0,3.9,3.9,0.886
1,9,t1429,10,17,0,5.1,5.1,1.6
1,9,t1186,19,5,0,3.5999999999999996,3.5999999999999996,0.986
1,9,t730,4,19,0,4.2,4.2,1.47
1,9,t1132,19,6,0,3.5999999999999996,3.5999999999999996,0.968
1,9,t698,4,10,0,6.3,6.3,2.2640000000000002
1,9,t549,11,6,0,4.2,4.2,1.066
1,9,t354,2,6,0,3.9,3.9,0.978
1,9,t1481,0,12,0,4.5,4.5,0.992
1,9,t49,13,9,0,4.8,4.8,1.202
1,9,t458,9,19,0,4.2,4.2,1.6920000000000002
1,9,t1262,17,5,0,6.3,6.3,1.57
