per_min_fee,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
0.2,1,t460,9,17,0,2.2,2.2,0.758
0.2,1,t536,14,19,2,2.0,4.0,0.742
0.2,1,t1417,10,5,2,2.2,4.2,0.9279999999999999
0.2,1,t903,1,12,-1,3.4000000000000004,2.4000000000000004,1.3090000000000002
0.2,1,t703,4,13,-1,4.0,3.0,1.4660000000000002
0.2,2,t448,9,5,2,1.8,3.8,0.674
0.2,2,t1241,17,0,2,2.4000000000000004,4.4,0.81
0.2,2,t18,13,5,0,4.0,4.0,1.6239999999999999
0.2,2,t577,11,17,1,4.0,5.0,1.9260000000000002
0.2,2,t1129,19,13,0,5.0,5.0,2.692
0.2,2,t1080,16,19,1,2.6,3.6,1.2688000000000001
0.2,2,t1477,0,6,-1,3.6,2.6,1.22
0.2,2,t1490,0,3,0,2.4000000000000004,2.4000000000000004,0.8420000000000001
0.2,2,t1332,8,14,0,5.2,5.2,2.298
0.2,2,t1108,16,4,-1,1.8,0.8,0.686
0.2,2,t907,1,9,2,1.0,3.0,0.34600000000000003
0.2,2,t1142,19,14,2,2.2,4.2,0.8580000000000001
0.2,2,t664,4,13,0,4.0,4.0,1.4660000000000002
0.2,2,t776,5,10,0,2.2,2.2,0.828
0.2,2,t226,7,17,-1,4.0,3.0,1.9320000000000002
0.2,2,t154,6,0,1,3.8000000000000003,4.800000000000001,1.308
0.2,2,t1333,8,14,0,5.2,5.2,2.298
0.2,2,t1165,19,0,2,4.0,6.0,2.074
0.2,2,t1418,10,15,2,2.6,4.6,0.9880000000000001
0.2,2,t1374,10,3,2,4.2,6.2,1.9600000000000002
0.2,2,t48,13,9,0,3.2,3.2,1.202
0.2,2,t636,3,14,0,5.0,5.0,2.102
0.2,2,t1179,19,14,2,2.2,4.2,0.8580000000000001
0.2,2,t407,9,4,-1,3.2,2.2,1.2300000000000002
0.2,2,t1506,0,17,0,2.0,2.0,0.638
0.2,2,t625,3,13,2,2.6,4.6,0.8640000000000001
0.2,2,t262,12,19,2,5.2,7.2,2.638
0.2,2,t898,1,13,2,3.2,5.2,1.3068
0.2,2,t1354,8,10,1,2.4000000000000004,3.4000000000000004,0.9580000000000001
0.2,2,t992,18,4,1,5.2,6.2,2.6020000000000003
0.2,2,t785,5,7,-1,1.6,0.6000000000000001,0.588
0.2,2,t207,7,14,2,2.8000000000000003,4.800000000000001,1.242
0.2,2,t1201,19,10,2,3.0,5.0,1.3920000000000001
0.2,2,t542,14,10,2,3.6,5.6,1.6320000000000001
0.2,2,t1424,10,16,0,3.2,3.2,1.46
0.2,2,t712,4,9,2,3.4000000000000004,5.4,1.234
0.2,2,t109,6,17,2,4.800000000000001,6.800000000000001,1.6840000000000002
0.2,2,t440,9,14,1,3.4000000000000004,4.4,1.6440000000000001
0.2,2,t573,11,16,2,3.4000000000000004,5.4,1.6600000000000001
0.2,2,t441,9,14,1,3.4000000000000004,4.4,1.6440000000000001
0.2,2,t69,13,17,2,3.6,5.6,1.6079999999999999
0.2,2,t1397,10,13,0,4.4,4.4,2.108
0.2,2,t1505,0,17,0,2.0,2.0,0.638
0.2,2,t937,1,13,2,3.2,5.2,1.3068
0.2,2,t558,11,14,1,3.6,4.6,1.462
0.2,2,t751,5,9,0,2.0,2.0,0.682
0.2,2,t73,13,10,0,4.800000000000001,4.800000000000001,2.022
0.2,2,t106,6,19,-1,2.0,1.0,0.796
0.2,2,t526,14,5,2,2.2,4.2,0.892
0.2,2,t589,3,7,-1,4.0,3.0,1.7489999999999999
0.2,2,t536,14,19,2,2.0,4.0,0.742
0.2,2,t127,6,9,-1,2.8000000000000003,1.8000000000000003,0.952
0.2,2,t742,5,13,2,4.2,6.2,1.6520000000000001
0.2,2,t68,13,19,2,5.0,7.0,2.656
0.2,2,t1234,17,19,0,5.2,5.2,2.5860000000000003
0.2,2,t1178,19,9,2,2.8000000000000003,4.800000000000001,1.7334
0.2,2,t369,2,5,1,2.4000000000000004,3.4000000000000004,0.9119999999999999
0.2,2,t534,14,16,2,2.0,4.0,0.916
0.2,2,t859,15,13,2,3.8000000000000003,5.800000000000001,1.558
0.2,2,t1267,17,1,0,3.4000000000000004,3.4000000000000004,1.252
0.2,2,t497,14,19,2,2.0,4.0,0.742
0.2,2,t223,7,19,1,2.0,3.0,0.976
0.2,2,t1276,17,10,2,3.4000000000000004,5.4,1.534
0.2,2,t576,11,17,1,4.0,5.0,1.9260000000000002
0.2,2,t481,14,11,2,3.6,5.6,1.7356000000000003
0.2,2,t1407,10,9,1,2.2,3.2,1.1400000000000001
0.2,2,t755,5,11,2,2.6,4.6,0.854
0.2,2,t772,5,17,2,4.0,6.0,1.4246
0.2,2,t325,2,11,2,3.8000000000000003,5.800000000000001,1.8940000000000001
0.2,2,t778,5,0,-1,3.0,2.0,1.03
0.2,2,t1295,8,11,0,3.0,3.0,1.26
0.2,2,t523,14,4,0,2.0,2.0,0.802
0.2,2,t950,1,11,1,2.0,3.0,1.072
0.2,2,t538,14,17,2,5.6000000000000005,7.6000000000000005,2.402
0.2,2,t313,2,13,0,2.6,2.6,0.8160000000000001
0.2,2,t1416,10,5,0,2.2,2.2,0.9279999999999999
0.2,2,t797,5,4,-1,3.0,2.0,1.094
0.2,2,t1398,10,13,0,4.4,4.4,2.108
0.2,2,t522,14,3,0,4.800000000000001,4.800000000000001,2.116
0.2,2,t1429,10,17,2,3.4000000000000004,5.4,1.6
0.2,2,t731,4,19,1,2.8000000000000003,3.8000000000000003,1.47
0.2,2,t652,3,19,2,4.800000000000001,6.800000000000001,2.5100000000000002
0.2,2,t1475,0,13,2,2.8000000000000003,4.800000000000001,0.9900000000000001
0.2,2,t1225,17,5,2,4.2,6.2,1.57
0.2,2,t459,9,17,0,2.2,2.2,0.758
0.2,2,t1163,19,10,2,3.0,5.0,1.3920000000000001
0.2,2,t1420,10,1,0,2.0,2.0,0.9420000000000001
0.2,2,t1148,19,5,1,2.4000000000000004,3.4000000000000004,0.986
0.2,2,t1124,16,10,1,3.4000000000000004,4.4,1.2380000000000002
0.2,2,t1431,10,8,2,2.6,4.6,1.062
0.2,2,t644,3,15,1,3.8000000000000003,4.800000000000001,1.436
0.2,2,t568,11,1,0,2.2,2.2,1.154
0.2,2,t911,1,11,1,2.0,3.0,1.072
0.2,2,t1378,10,5,0,2.2,2.2,0.9279999999999999
0.2,2,t222,7,16,-1,3.0,2.0,1.3820000000000001
0.2,2,t771,5,17,2,4.0,6.0,1.4246
0.2,3,t539,14,8,-1,5.4,4.4,2.404
0.2,3,t1171,19,7,0,2.2,2.2,1.074
0.2,3,t223,7,19,2,2.0,4.0,0.976
0.2,3,t1111,16,5,-1,1.8,0.8,0.678
0.2,3,t213,7,5,1,1.6,2.6,0.634
0.2,3,t778,5,0,2,3.0,5.0,1.03
0.2,3,t292,12,5,2,4.2,6.2,1.602
0.2,3,t67,13,19,2,5.0,7.0,2.656
0.2,3,t586,3,13,2,2.6,4.6,0.8640000000000001
0.2,3,t1260,17,4,0,4.4,4.4,2.0260000000000002
0.2,3,t1275,17,8,1,2.0,3.0,0.8320000000000001
0.2,3,t772,5,17,1,4.0,5.0,1.4246
0.2,3,t1180,19,14,1,2.2,3.2,0.8580000000000001
0.2,3,t1398,10,13,2,4.4,6.4,2.108
0.2,3,t129,6,14,1,2.0,3.0,0.668
0.2,3,t452,9,1,0,1.0,1.0,0.34400000000000003
0.2,3,t4,13,7,0,4.2,4.2,1.862
0.2,3,t152,6,10,1,2.8000000000000003,3.8000000000000003,1.1460000000000001
0.2,3,t393,9,6,2,2.6,4.6,0.924
0.2,3,t221,7,16,0,3.0,3.0,1.3820000000000001
0.2,3,t827,15,2,0,1.6,1.6,0.6040000000000001
0.2,3,t598,3,14,1,5.0,6.0,2.102
0.2,3,t1426,10,19,2,2.8000000000000003,4.800000000000001,1.2936
0.2,3,t207,7,14,2,2.8000000000000003,4.800000000000001,1.242
0.2,3,t198,7,6,1,2.0,3.0,0.8260000000000001
0.2,3,t1436,0,13,0,2.8000000000000003,2.8000000000000003,0.9900000000000001
0.2,3,t824,15,7,0,2.2,2.2,0.73
0.2,3,t20,13,15,0,4.0,4.0,1.564
0.2,3,t1110,16,5,-1,1.8,0.8,0.678
0.2,3,t317,2,7,0,3.2,3.2,1.4400000000000002
0.2,3,t562,11,4,-1,4.2,3.2,2.118
0.2,3,t333,2,15,0,1.6,1.6,0.602
0.2,3,t779,5,0,2,3.0,5.0,1.03
0.2,3,t274,12,13,0,2.0,2.0,0.642
0.2,3,t1142,19,14,1,2.2,3.2,0.8580000000000001
0.2,3,t513,14,12,-1,4.800000000000001,3.8000000000000007,1.868
0.2,3,t1471,0,10,2,3.0,5.0,1.2400000000000002
0.2,3,t395,9,7,1,2.0,3.0,0.772
0.2,3,t1390,10,17,2,3.4000000000000004,5.4,1.6
0.2,3,t2,13,6,2,4.800000000000001,6.800000000000001,1.8840000000000001
0.2,3,t668,4,7,1,3.4000000000000004,4.4,1.9500000000000002
0.2,3,t356,2,7,0,3.2,3.2,1.4400000000000002
0.2,3,t742,5,13,2,4.2,6.2,1.6520000000000001
0.2,3,t84,6,12,2,4.800000000000001,6.800000000000001,1.6059999999999999
0.2,3,t576,11,17,1,4.0,5.0,1.9260000000000002
0.2,3,t691,4,19,0,2.8000000000000003,2.8000000000000003,1.47
0.2,3,t936,1,13,-1,3.2,2.2,1.3068
0.2,3,t604,3,5,2,3.8000000000000003,5.800000000000001,1.4800000000000002
0.2,3,t832,15,14,1,2.0,3.0,0.926
0.2,3,t214,7,5,1,1.6,2.6,0.634
0.2,3,t205,7,9,1,1.8,2.8,0.91
0.2,3,t1159,19,17,1,5.0,6.0,2.474
0.2,3,t1201,19,10,2,3.0,5.0,1.3920000000000001
0.2,3,t794,5,11,-1,2.6,1.6,0.854
0.2,3,t1271,17,16,0,4.2,4.2,1.7488000000000001
0.2,3,t74,13,10,0,4.800000000000001,4.800000000000001,2.022
0.2,3,t995,18,5,-1,4.800000000000001,3.8000000000000007,2.172
0.2,3,t1109,16,4,0,1.8,1.8,0.686
0.2,3,t60,13,15,0,4.0,4.0,1.564
0.2,3,t1118,16,19,-1,2.6,1.6,1.2688000000000001
0.2,3,t418,9,19,1,2.8000000000000003,3.8000000000000003,1.6920000000000002
0.2,3,t664,4,13,-1,4.0,3.0,1.4660000000000002
0.2,3,t636,3,14,1,5.0,6.0,2.102
0.2,3,t1158,19,17,1,5.0,6.0,2.474
0.2,3,t856,15,0,2,2.8000000000000003,4.800000000000001,0.9660000000000001
0.2,3,t847,15,19,1,2.4000000000000004,3.4000000000000004,0.954
0.2,3,t826,15,12,2,3.8000000000000003,5.800000000000001,1.2480000000000002
0.2,3,t556,11,9,1,2.4000000000000004,3.4000000000000004,1.354
0.2,3,t1320,8,13,2,4.800000000000001,6.800000000000001,1.92
0.2,3,t130,6,11,2,2.8000000000000003,4.800000000000001,1.064
0.2,3,t210,7,3,2,3.6,5.6,1.7000000000000002
0.2,3,t904,1,12,-1,3.4000000000000004,2.4000000000000004,1.3090000000000002
0.2,3,t908,1,9,0,1.0,1.0,0.34600000000000003
0.2,3,t638,3,11,2,4.800000000000001,6.800000000000001,2.17
0.2,3,t1321,8,13,2,4.800000000000001,6.800000000000001,1.92
0.2,3,t627,3,6,-1,4.6000000000000005,3.6000000000000005,1.752
0.2,3,t771,5,17,1,4.0,5.0,1.4246
0.2,3,t820,15,13,0,3.8000000000000003,3.8000000000000003,1.558
0.2,3,t561,11,3,-1,4.4,3.4000000000000004,2.168
0.2,3,t872,15,11,2,2.8000000000000003,4.800000000000001,1.1720000000000002
0.2,3,t568,11,1,0,2.2,2.2,1.154
0.2,3,t1504,0,19,2,3.8000000000000003,5.800000000000001,1.9800000000000002
0.2,3,t791,5,9,2,2.0,4.0,0.682
0.2,3,t646,3,1,2,3.0,5.0,1.168
0.2,3,t1217,17,14,0,5.6000000000000005,5.6000000000000005,2.604
0.2,3,t224,7,19,2,2.0,4.0,0.976
0.2,3,t116,6,0,-1,3.8000000000000003,2.8000000000000003,1.308
0.2,3,t1221,17,3,0,2.4000000000000004,2.4000000000000004,1.076
0.2,3,t1427,10,19,2,2.8000000000000003,4.800000000000001,1.2936
0.2,3,t1481,0,12,-1,3.0,2.0,0.992
0.2,3,t1115,16,1,-1,1.8,0.8,0.61
0.2,3,t645,3,15,1,3.8000000000000003,4.800000000000001,1.436
0.2,3,t469,14,13,1,5.2,6.2,2.024
0.2,3,t1376,10,4,2,4.0,6.0,2.206
0.2,3,t53,13,3,-1,2.6,1.6,0.886
0.2,3,t545,14,0,2,4.0,6.0,1.6480000000000001
0.2,9,t1197,19,17,2,5.0,7.0,2.474
0.2,9,t1389,10,19,-1,2.8000000000000003,1.8000000000000003,1.2936
0.2,9,t301,12,19,0,5.2,5.2,2.638
0.2,9,t678,4,3,0,4.2,4.2,1.6260000000000003
0.2,9,t1130,19,13,2,5.0,7.0,2.692
0.2,9,t661,3,0,1,3.0,4.0,0.868
0.2,9,t720,4,5,-1,2.8000000000000003,1.8000000000000003,1.502
0.2,9,t832,15,14,-1,2.0,1.0,0.926
0.2,9,t55,13,4,2,4.0,6.0,1.4820000000000002
0.2,9,t1162,19,10,1,3.0,4.0,1.3920000000000001
0.2,9,t146,6,19,2,2.0,4.0,0.796
0.2,9,t563,11,4,2,4.2,6.2,2.118
0.2,9,t130,6,11,-1,2.8000000000000003,1.8000000000000003,1.064
0.2,9,t59,13,15,1,4.0,5.0,1.564
0.2,9,t1106,16,3,-1,3.2,2.2,1.2666000000000002
0.2,9,t313,2,13,1,2.6,3.6,0.8160000000000001
0.2,9,t1369,10,9,0,2.2,2.2,1.1400000000000001
0.2,9,t356,2,7,2,3.2,5.2,1.4400000000000002
0.2,9,t903,1,12,2,3.4000000000000004,5.4,1.3090000000000002
0.2,9,t41,13,6,2,4.800000000000001,6.800000000000001,1.8840000000000001
0.2,9,t871,15,14,-1,2.0,1.0,0.926
0.2,9,t976,18,13,0,2.8000000000000003,2.8000000000000003,1.1286
0.2,9,t643,3,5,-1,3.8000000000000003,2.8000000000000003,1.4800000000000002
0.2,9,t518,14,9,2,3.4000000000000004,5.4,1.4300000000000002
0.2,9,t653,3,19,0,4.800000000000001,4.800000000000001,2.5100000000000002
0.2,9,t157,7,13,1,4.0,5.0,1.85
0.2,9,t1377,10,4,-1,4.0,3.0,2.206
0.2,9,t751,5,9,2,2.0,4.0,0.682
0.2,9,t473,14,7,2,2.8000000000000003,4.800000000000001,1.302
0.2,9,t1488,0,11,0,3.6,3.6,1.56
0.2,9,t1260,17,4,2,4.4,6.4,2.0260000000000002
0.2,9,t1486,0,14,0,4.2,4.2,1.6820000000000002
0.2,9,t62,13,1,2,3.2,5.2,1.2846000000000002
0.2,9,t769,5,19,1,2.2,3.2,0.806
0.2,9,t381,2,17,2,3.0,5.0,1.192
0.2,9,t1404,10,12,0,4.6000000000000005,4.6000000000000005,2.1100000000000003
0.2,9,t1228,17,1,0,3.4000000000000004,3.4000000000000004,1.252
0.2,9,t624,3,13,1,2.6,3.6,0.8640000000000001
0.2,9,t1118,16,19,2,2.6,4.6,1.2688000000000001
0.2,9,t733,4,17,2,4.4,6.4,1.8440000000000003
0.2,9,t235,12,13,0,2.0,2.0,0.642
0.2,9,t835,15,3,-1,3.6,2.6,1.412
0.2,9,t820,15,13,1,3.8000000000000003,4.800000000000001,1.558
0.2,9,t1180,19,14,0,2.2,2.2,0.8580000000000001
0.2,9,t198,7,6,2,2.0,4.0,0.8260000000000001
