num_of_zones,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
3,1,t770,5,19,2,3.3,5.3,0.806
3,1,t206,7,14,2,4.2,6.2,1.242
3,1,t425,9,10,2,3.5999999999999996,5.6,0.8900000000000001
3,1,t577,11,17,-1,6.0,5.0,1.9260000000000002
3,1,t909,1,14,2,4.5,6.5,1.3760000000000001
3,1,t1400,10,6,-1,3.9,2.9,1.1580000000000001
3,1,t626,3,6,0,6.8999999999999995,6.8999999999999995,1.752
3,1,t599,3,11,0,7.199999999999999,7.199999999999999,2.17
3,1,t1259,17,3,0,3.5999999999999996,3.5999999999999996,1.076
3,1,t1388,10,19,-1,4.2,3.2,1.2936
3,1,t1257,17,11,-1,6.0,5.0,1.8418
3,1,t1238,17,10,0,5.1,5.1,1.534
3,1,t1284,8,6,-1,6.6,5.6,1.8600000000000003
3,1,t1167,19,13,0,7.5,7.5,2.692
3,1,t1412,10,3,0,6.3,6.3,1.9600000000000002
3,1,t1098,16,12,1,5.1,6.1,1.1378000000000001
3,1,t1134,19,7,2,3.3,5.3,1.074
3,1,t1149,19,5,2,3.5999999999999996,5.6,0.986
3,1,t1083,16,17,2,5.7,7.7,1.548
3,1,t213,7,5,2,2.4,4.4,0.634
3,1,t1180,19,14,2,3.3,5.3,0.8580000000000001
3,1,t70,13,17,2,5.3999999999999995,7.3999999999999995,1.6079999999999999
3,1,t323,2,14,0,4.2,4.2,1.306
3,1,t48,13,9,1,4.8,5.8,1.202
3,1,t68,13,19,0,7.5,7.5,2.656
3,1,t1403,10,12,0,6.8999999999999995,6.8999999999999995,2.1100000000000003
3,1,t926,1,19,2,3.3,5.3,1.4160000000000001
3,1,t1172,19,7,2,3.3,5.3,1.074
3,1,t1427,10,19,-1,4.2,3.2,1.2936
3,1,t638,3,11,0,7.199999999999999,7.199999999999999,2.17
3,1,t1490,0,3,1,3.5999999999999996,4.6,0.8420000000000001
3,1,t1162,19,10,-1,4.5,3.5,1.3920000000000001
3,1,t408,9,5,0,2.6999999999999997,2.6999999999999997,0.674
3,2,t676,4,14,-1,3.0,2.0,0.8039999999999999
3,2,t577,11,17,-1,6.0,5.0,1.9260000000000002
3,2,t1080,16,19,-1,3.9,2.9,1.2688000000000001
3,2,t1391,10,17,-1,5.1,4.1,1.6
3,2,t1135,19,12,0,7.8,7.8,2.6940000000000004
3,2,t1490,0,3,0,3.5999999999999996,3.5999999999999996,0.8420000000000001
3,2,t1464,0,19,-1,5.7,4.7,1.9800000000000002
3,2,t366,2,3,0,4.2,4.2,0.962
3,2,t1142,19,14,0,3.3,3.3,0.8580000000000001
3,2,t664,4,13,0,6.0,6.0,1.4660000000000002
3,2,t226,7,17,-1,6.0,5.0,1.9320000000000002
3,2,t1104,16,14,-1,2.6999999999999997,1.6999999999999997,0.87
3,2,t716,4,11,-1,6.3,5.3,2.104
3,2,t266,12,8,-1,7.5,6.5,1.9280000000000002
3,2,t1165,19,0,0,6.0,6.0,2.074
3,2,t1418,10,15,0,3.9,3.9,0.9880000000000001
3,2,t1179,19,14,0,3.3,3.3,0.8580000000000001
3,2,t1506,0,17,0,3.0,3.0,0.638
3,2,t625,3,13,1,3.9,4.9,0.8640000000000001
3,2,t262,12,19,-1,7.8,6.8,2.638
3,2,t898,1,13,0,4.8,4.8,1.3068
3,2,t49,13,9,-1,4.8,3.8,1.202
3,2,t207,7,14,0,4.2,4.2,1.242
3,2,t542,14,10,0,5.3999999999999995,5.3999999999999995,1.6320000000000001
3,2,t659,3,10,0,6.8999999999999995,6.8999999999999995,1.8800000000000001
3,2,t440,9,14,0,5.1,5.1,1.6440000000000001
3,2,t70,13,17,0,5.3999999999999995,5.3999999999999995,1.6079999999999999
3,2,t69,13,17,0,5.3999999999999995,5.3999999999999995,1.6079999999999999
3,2,t1452,0,4,0,5.1,5.1,1.318
3,2,t106,6,19,0,3.0,3.0,0.796
3,2,t579,11,8,0,4.5,4.5,1.3880000000000001
3,2,t526,14,5,0,3.3,3.3,0.892
3,2,t3,13,7,-1,6.3,5.3,1.862
3,2,t536,14,19,0,3.0,3.0,0.742
3,2,t68,13,19,-1,7.5,6.5,2.656
3,2,t299,12,16,0,5.3999999999999995,5.3999999999999995,1.1500000000000001
3,2,t497,14,19,0,3.0,3.0,0.742
3,2,t590,3,7,0,6.0,6.0,1.7489999999999999
3,2,t223,7,19,0,3.0,3.0,0.976
3,2,t294,12,15,0,6.0,6.0,1.2824
3,2,t576,11,17,-1,6.0,5.0,1.9260000000000002
3,2,t1407,10,9,0,3.3,3.3,1.1400000000000001
3,2,t755,5,11,0,3.9,3.9,0.854
3,2,t772,5,17,-1,6.0,5.0,1.4246
